id,class,set
de_falla_piano_music_completesegment10,20th century traditional figure,test
les_touareg__avec_les_seigneurs_des_sables__tassili_iforas_hoggarsegment44,African traditional folklore,train
the_best_of_francois_couperinsegment37,Baroque Classical secular subject,train
______alexander_vertinsky__songs_of_love_russian_chansonsegment91,European traditional folklore,train
anton_webern__string_quartet_1905segment21,20th century experimental figure,train
century_xii_medieval_sacred_songssegment153,Renaissance symbolism,train
blind_guardian__the_god_machine_full_album_streamsegment64,Heavy metal,train
olivier_messiaen__vingt_regards_sur_lenfantjesus_1944segment225,20th century experimental figure,train
adrian_willaert_and_his_circle_ricercari_da_musica_novasegment53,Renaissance secular subject,test
handel_9_suitessegment69,Baroque Classical secular subject,train
best_of_metallica__metallica_greatest_hits_full_albumsegment72,Heavy metal,train
bachs_most_beautiful_choralessegment28,Baroque Classical symbolism,train
modest_mussorgsky_pieces_for_pianosegment14,Romanticism figure,train
public_enemy__greatest_hits_coletanea_sem_capasegment129,Electronic music,train
lassus__chansons__capilla_flamencaavisegment55,Renaissance secular subject,train
traditional_japanese_music__shamisen_koto__taiko_musicsegment70,Asian traditional folklore,train
rachmaninoff_etudestableaux_complete_full_album_played_by_zlata_chochievasegment21,20th century traditional figure,train
moscheles__piano_concerto_no_3_in_g_minor_op__58segment4,Romanticism open view,train
suite_from_ariane_et_barbebleue_by_paul_dukas_audio__sheet_musicsegment26,20th century traditional open view,validation
js_bach__passione_secondo_matteo_bwv_244segment49,Baroque Classical symbolism,test
foofighters_greatest_hits_full_album_2022__foofighters_best_songs_collection__rock_songs_playlistsegment312,Modern instrumental music,train
smetana_ma_vlastsegment52,Romanticism open view,train
terry_riley__youre_no_goodsegment26,Electronic music,train
aztec_indigenous_ancient_musicsegment27,American traditional folklore,validation
youre_a_royal_falling_in_love_in_an_ancient_asian_kingdomsegment77,Asian traditional folklore,train
schoenberg_string_quartets1to4segment53,20th century experimental figure,train
lombardia_canzoni_popolari_1954segment80,European traditional folklore,train
arvo_part__tabula_rasasegment24,20th century abstractionism,test
eminem_best_rap_music_playlist_2023_eminem_greatest_hits_full_album_2023_all_songssegment76,Electronic music,train
giovanni_pierluigi_da_palestrina__first_book_of_madrigalssegment16,Renaissance secular subject,train
igor_stravinsky__octet_for_wind_instruments_with_scoresegment7,20th century traditional figure,train
chopin_complete_mazurkas_full_albumsegment250,Romanticism figure,train
stravinsky___the_firebird_fullsegment9,20th century experimental open view,train
kronos_quartet_performs_philip_glass__completesegment132,20th century abstractionism,validation
guillaume_dufay_13971474_secular__sacred_music_for_voices__instrumentssegment2,Renaissance secular subject,train
mayhem__de_mysteriis_dom_sathanas_1994_full_albumsegment19,Heavy metal,validation
devildriver__the_fury_of_our_makers_hand_full_albumsegment5,Heavy metal,train
booster_unpublished__tangerine_dreamsegment279,Electronic music,train
square_pusher__feed_me_weird_things_full_albumsegment77,Electronic music,train
chopin_4_ballades_zimermansegment8,Romanticism figure,train
kon__issues_full_album_hd_1080psegment32,Heavy metal,test
jsbach_complete_orchestralsuites__oklemperer_newphilharmoniao__1969segment12,Baroque Classical secular subject,train
john_cage_piano_works_full_albumsegment94,20th century abstractionism,train
sia_greatest_hits_full_album_2022__sia_best_songs_playlist_2022segment118,Modern instrumental music,test
messiaen_catalogue_doiseauxsegment127,20th century experimental figure,train
alan_hovhaness__lousadzak_concerto_for_piano_and_strings_op_48_1944_scorevideosegment19,20th century abstractionism,test
ligeti_string_quartetssegment6,20th century abstractionism,test
mayan_ambiance_mexican_traditional_musicsegment36,American traditional folklore,train
vibronics__the_return_of_vibronics__2015__full_albumsegment59,Electronic music,train
rhiannon_giddens__we_could_fly_official_videosegment1,African traditional folklore,train
russian_folk_music__slavic_musicsegment95,European traditional folklore,train
prokofiev__piano_concertos_no12345__presentation_centurys_recording__vladimir_ashkenazysegment5,20th century traditional open view,train
john_dunstable_c13901453__musician_to_the_plantagenetssegment13,Renaissance symbolism,train
john_dunstable_c13901453__musician_to_the_plantagenetssegment23,Renaissance symbolism,train
sun_ra__exotica_full_album_vol_1__2segment138,Modern instrumental music,train
bartok_string_quartetssegment176,20th century experimental figure,train
y2mateis__1998_cafe_del_mar_v_volumen_cinco_k3ywrfvo66q192k1695896365segment87,Electronic music,train
verdi___requiem_soltisegment165,20th century traditional open view,train
traditional_african_music_compilation_african_tribal_music__african_melodiessegment45,African traditional folklore,test
bartok__mikrokosmos_complete_with_scoresegment13,20th century experimental figure,train
patsy_cline_greatest_hist_full_album_2023__best_song_of_patsy_clinesegment52,Modern instrumental music,test
m_o_t_o_r_h_e_a_d_greatest_hits_album__best_songs_of_m_o_t_o_r_h_e_a_d_playlistsegment81,Heavy metal,train
shostakovich___piano_sonata_no_1_op_12_lilya_zilbersteinsegment5,20th century experimental figure,train
richard_strauss__metamorphosensegment50,20th century experimental open view,train
century_xii_medieval_sacred_songssegment185,Renaissance symbolism,train
dr_ludwigs_medieval_german_song_compilationsegment312,Renaissance secular subject,train
tchaikovsky_string_quartetssegment54,Romanticism figure,train
joaquin_sabina32_mejores_cancionessegment168,Modern instrumental music,test
bachs_most_beautiful_choralessegment1,Baroque Classical symbolism,train
slipknot__greatest_hitssegment297,Heavy metal,train
joseph_haydn__the_creationsegment101,Baroque Classical symbolism,train
napalm_death__harmony_corruption_full_albumsegment41,Heavy metal,train
herri_buom__folkmusik_fran_follingebygden_swedensegment27,European traditional folklore,train
blacksabbath_greatest_hits_full_album__best_songs_of_blacksabbath_playlist_2021segment125,Heavy metal,train
the_best_of_duke_ellington__duke_ellington_greatest_hits_full_album__duke_ellington_best_songssegment41,Modern instrumental music,train
rachmaninov__symphonies_nos123__vocalise__presentation_reference_record__evgeny_svetlanovsegment287,20th century traditional open view,train
traditional_african_music_folk_music_instrumental_for_relaxing_studying__ambiencesegment5,African traditional folklore,train
the_best_of_pandit_jasraj__audio_jukebox__vocal__classical__music_todaysegment54,Asian traditional folklore,train
arcangelo_corelli_16531713__sonate_da_chiesasegment164,Baroque Classical symbolism,train
songs_and_dances_from_the_flemish_renaissancesegment131,Renaissance secular subject,validation
richard_strauss__metamorphosensegment36,20th century experimental open view,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment57,20th century experimental open view,train
adrian_willaert_and_his_circle_ricercari_da_musica_novasegment78,Renaissance secular subject,train
grup_yorum__en_sevilen_sarklar_gelmis_gecmis_tum_turkuler_karsk_ibrahim_gokcek_ansnasegment53,Asian traditional folklore,train
john_dowland__2_hours_with_the_best_lute_classical_music_hqsegment136,Renaissance secular subject,train
messiaen__quartet_for_the_end_of_time_themes_and_variationssegment43,20th century experimental figure,test
charles_iveslarry_austin__universe_symphony_symphony_no_6_wscoresegment53,20th century experimental open view,test
grieg_piano_concerto_in_a_minor_op_16_with_scoresegment55,20th century traditional open view,train
the_best_of_muzio_clementisegment157,Baroque Classical secular subject,train
mayan_ambiance_mexican_traditional_musicsegment99,American traditional folklore,train
josh_white__chicago_1963_sessionssegment17,African traditional folklore,test
music_for_18_musicianssegment108,20th century abstractionism,train
bob_marley_greatest_hits_reggae_songs_2023__bob_marley_full_playlistsegment105,African traditional folklore,validation
anime_opening_music_mix__anime_updating_2023__anime_opening_compilation_2023segment27,Asian traditional folklore,train
robert_schumann_humoreske_op_20_1839segment5,Romanticism figure,train
paul_hindemith_ludus_tonalissegment9,20th century experimental figure,train
paul_dukas__symphony_in_c_1896segment47,20th century traditional open view,train
at_the_sign_of_the_crumhorn_flemish_songs_and_dance_music_of_the_renaissancesegment98,Renaissance secular subject,test
bach__partitas_nos_123456_bwv_825830__remastered_centurys_recording_glenn_gouldsegment142,Baroque Classical secular subject,validation
schoenberg_complete_works_for_piano_solo_glenn_gouldsegment117,20th century experimental figure,train
ludwig_van_beethoven__piano_sonata_no_23_appassionata_op_57_complete_piano_solosegment27,Baroque Classical secular subject,test
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment142,Baroque Classical symbolism,train
albeniz_guitar_workssegment106,20th century traditional figure,train
gustav_mahler__symphony_no_10_cooke_audio__full_scoresegment40,20th century traditional open view,train
handel_9_suitessegment108,Baroque Classical secular subject,train
arcangelo_corelli_16531713__sonate_da_chiesasegment29,Baroque Classical symbolism,train
ligeti__le_grand_macabresegment150,20th century abstractionism,train
jeanbaptiste_lully_te_deum_grand_motet_lwv_55segment64,Baroque Classical symbolism,train
symphony_no8_songs_of_transcience_revised_version__krzysztof_pendereckisegment81,20th century abstractionism,validation
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment489,Romanticism open view,train
scriabinetudesop42to65segment8,20th century experimental figure,validation
john_dowland__2_hours_with_the_best_lute_classical_music_hqsegment100,Renaissance secular subject,train
la_monte_young__theatre_of_eternal_music_1960__1963segment120,20th century abstractionism,train
justin_bieber_top_20_songs_playlist__hit_english_songs_2023segment2,Electronic music,train
bach__complete_flute_sonatas__emmanuel_pahud__trevor_pinnocksegment178,Baroque Classical secular subject,train
monges_de_santo_domingo_de_silos_canto_gregorianosegment75,Renaissance symbolism,train
aztec_music__musica_prehispanica_vol1__fiesta__sacrificio__guerra__ritos__cinematic_deliriumsegment82,American traditional folklore,train
pain_of_salvation__entropia_full_albumsegment66,Heavy metal,train
brahms_3_piano_sonatas_zimermansegment78,Romanticism figure,train
ludwig_van_beethoven__piano_sonata_no_23_appassionata_op_57_complete_piano_solosegment5,Baroque Classical secular subject,validation
discover_dufay__1_hour_of_sacred_chants_and_polyphony_from_the_xvth_centhurysegment26,Renaissance symbolism,train
the_very_best_of_frank_zappa__frank_zappa_greatest_hits_full_albumsegment30,Modern instrumental music,train
albeniz_by_alicia_de_larrocha__iberia_suite_espanola_tango_navarra__centurys_record_1962segment84,20th century traditional figure,train
manu_chao_sus_mejores_exitos__manu_chao_30_grandes_exitossegment119,African traditional folklore,train
paul_hindemith_ludus_tonalissegment184,20th century experimental figure,train
telemann__brockes_passion__passion_oratorio_completesegment163,Baroque Classical symbolism,train
dream_theater__awake_full_album_1994segment42,Heavy metal,train
the_best_of_mendelssohnsegment90,Romanticism open view,train
traditional_japanese_music__shamisen_koto__taiko_musicsegment82,Asian traditional folklore,train
hindemithovertureflyingdutchmanquarte0militarminimaxsegment16,20th century traditional figure,train
afghanistan_songs_of_the_pashayi_19701971segment75,Asian traditional folklore,test
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment106,Baroque Classical symbolism,train
century_xii_medieval_sacred_songssegment84,Renaissance symbolism,train
schubert_die_schone_mullerin_full_op_25_d_795segment79,Romanticism figure,train
turangalila_symphony__olivier_messiaensegment96,20th century experimental open view,validation
skyclad__the_wayward_sons_of_mother_earth_1991_full_albumsegment36,Heavy metal,train
guillaume_de_machaut_c13001377_polyphonic_chansonssegment21,Renaissance secular subject,test
azrbaycan__traditional_musicsegment58,European traditional folklore,train
mussorgsky__boris_godunov_1869__presentation_talvela__reference_recording__jerzy_semkowsegment329,Romanticism open view,train
african_folk_music_instrumental__marimba_kalimba__drumssegment129,African traditional folklore,train
the_best_of_bill_evans_full_albumsegment32,Modern instrumental music,train
brahms_complete_piano_trios__guarneri_trio_praguesegment221,Romanticism figure,train
nyman_string_quartet_no_1__beginningsegment3,20th century abstractionism,train
brahms_complete_piano_trios__guarneri_trio_praguesegment24,Romanticism figure,train
krzysztof_penderecki__st_luke_passion_1966segment129,20th century abstractionism,train
avril_lavigne_greatest_hits_full_album__best_songs_of__avril_lavigne_playlistsegment65,Electronic music,train
mussorgsky__boris_godunov_1869__presentation_talvela__reference_recording__jerzy_semkowsegment75,Romanticism open view,train
charles_iveslarry_austin__universe_symphony_symphony_no_6_wscoresegment2,20th century experimental open view,train
grup_yorum__en_sevilen_sarklar_gelmis_gecmis_tum_turkuler_karsk_ibrahim_gokcek_ansnasegment155,Asian traditional folklore,train
los_calchakis__flutes_des_terres_incas_1985segment100,American traditional folklore,train
stan_getz_greatest_hits_collection__the_best_of_stan_getz__instrumental_saxophone_musicsegment100,Modern instrumental music,train
bach__partitas_nos_123456_bwv_825830__remastered_centurys_recording_glenn_gouldsegment164,Baroque Classical secular subject,validation
prokofiev__piano_concertos_no12345__presentation_centurys_recording__vladimir_ashkenazysegment134,20th century traditional open view,validation
the_best_of_tallissegment26,Renaissance symbolism,train
john_dowland__2_hours_with_the_best_lute_classical_music_hqsegment170,Renaissance secular subject,train
erich_wolfgang_korngold__symphony_in_fsharp_major_op40_1953segment64,20th century traditional open view,validation
schubert__piano_sonata_d960__richter_studiosegment8,Romanticism figure,train
stan_getz_greatest_hits_collection__the_best_of_stan_getz__instrumental_saxophone_musicsegment19,Modern instrumental music,train
traditional_chinese_music_melodies____segment34,Asian traditional folklore,train
the_mars_volta__deloused_in_the_comatorium_2003__full_album_no_cuts_between_songssegment51,Modern instrumental music,train
nono_contrappunto_dialettico_alla_mentesegment37,20th century abstractionism,validation
full_album_megadeth__rust_in_peacesegment58,Heavy metal,validation
cosmic_baby__stellar_supreme_1992segment56,Electronic music,validation
guai_ai_gelidi_mostri_arr_of_texts_by_m_cacciari__part_iv_segment16,20th century abstractionism,train
