id,class,set
0c72c3288b796a1dbe931ae78f08f757c,Electronic music,train
utagawatoyokunitheheiancourtier,Asian traditional folklore,train
150f353b19e0925a00c5f156c278deafc,Heavy metal,train
kittelsen38,European traditional folklore,train
adriaenvandeveldecowsonameadow1658,Baroque Classical secular subject,test
agostinocarracciportraitofannibaleludovicoandagostinocarracci,Baroque Classical secular subject,train
huangbinhongetal15,Asian traditional folklore,test
jamiewyethportraitofjeankennedysmith1972,Modern instrumental music,train
titian45,Renaissance secular subject,validation
davidalfaro_siqueiros10,American traditional folklore,train
kgsubramanyanetal2,Asian traditional folklore,train
barringtonwatson7,African traditional folklore,train
stefanluchian1,20th century experimental open view,train
leeufanwithwinds1990,Electronic music,train
marcchagall117,European traditional folklore,train
e7b888a576be7240d67fa566d0167baac,Modern instrumental music,train
pierreaugusterenoir206,20th century experimental open view,train
renemagritte141,20th century experimental open view,train
5e3afbc46a4a409cf43395385e121644c,Electronic music,train
luciofontana3,20th century abstractionism,train
jorgepardo2,American traditional folklore,train
edgardegas547,Romanticism figure,train
andywarhol156,Electronic music,train
johnconstable9,Romanticism open view,train
markrothko6,20th century traditional figure,test
ancientegipt8,African traditional folklore,train
morrisgravesbirdexperiencinglight1969,20th century abstractionism,validation
peterpaulrubens13,Baroque Classical symbolism,train
chaibiatalal2,African traditional folklore,train
paulklee87,20th century abstractionism,train
nikopirosmanileaningagainstawomanmutake1,European traditional folklore,train
norvalmorrisseau17,American traditional folklore,train
kentmonkman21,American traditional folklore,train
edgardegas194,Romanticism figure,validation
rodolfoaricountitled1973,Electronic music,train
gustavecourbet58,Romanticism figure,train
cunoamiet25,20th century experimental open view,train
edgardegas238,20th century traditional open view,train
camillepissarro76,20th century traditional open view,train
twinsevenseven20,African traditional folklore,train
kentmonkman30,American traditional folklore,train
giorgiodechirico22,20th century experimental figure,train
pyotrkonchalovskyfruittrees1922,20th century traditional open view,train
alfredsisley138,Romanticism open view,train
romarebearden31,African traditional folklore,train
gustavklimt112,20th century experimental open view,train
ffe615a4aaa8b858f333b501ba2b4d9cc,Heavy metal,train
